,,,,,,,,,,,,bdhp-v4.6.0,bdhp-v4.6.0-saas,,,,,,,,,,,,,,,,,,,,,,,,
bdhp-practitioner,bdhp-practitioner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-practitioner,PractitionerService\Dockerfile,4.30.0,4.29.0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-practitioner && git pull origin dev && git fetch && git branch,cd ../bdhp-practitioner && git checkout -b 4.30.0-tag-as-branch 4.30.0,cd ../bdhp-practitioner && git checkout -b 4.29.0-tag-as-branch 4.29.0,version=4.30.0,version=4.29.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.30.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-practitioner:4.30.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-practitioner\PractitionerService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.29.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-practitioner:4.29.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-practitioner\PractitionerService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-practitioner:4.30.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-practitioner__4.30.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-practitioner:4.29.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-practitioner__4.29.0.json""","cd ../bdhp-practitioner
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-practitioner -r 4.30.0","cd ../bdhp-practitioner
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-practitioner -r 4.29.0",4.19.8,4.19.8,FALSE,bdhp-practitioner-role,4.26.0,,
bdhp-practitioner-role,bdhp-practitioner-role,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-practitioner-role,PractitionerRoleService\Dockerfile,,4.26.0,,,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-practitioner-role && git pull origin dev && git fetch && git branch,,cd ../bdhp-practitioner-role && git checkout -b 4.26.0-tag-as-branch 4.26.0,,version=4.26.0,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.26.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-practitioner-role:4.26.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-practitioner-role\PractitionerRoleService\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-practitioner-role:4.26.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-practitioner-role__4.26.0.json""",,"cd ../bdhp-practitioner-role
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-practitioner-role -r 4.26.0",,4.16.8,FALSE,bdhp-procedure-request,5.13.0,,
bdhp-procedure-request,bdhp-procedure-request,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-procedure-request,ProcedureRequestService\Dockerfile,5.13.0,5.13.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-procedure-request && git pull origin dev && git fetch && git branch,cd ../bdhp-procedure-request && git checkout -b 5.13.0-tag-as-branch 5.13.0,cd ../bdhp-procedure-request && git checkout -b 5.13.0-tag-as-branch 5.13.0,version=5.13.0,version=5.13.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=5.13.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-procedure-request:5.13.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-procedure-request\ProcedureRequestService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=5.13.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-procedure-request:5.13.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-procedure-request\ProcedureRequestService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-procedure-request:5.13.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-procedure-request__5.13.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-procedure-request:5.13.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-procedure-request__5.13.0.json""","cd ../bdhp-procedure-request
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-procedure-request -r 5.13.0","cd ../bdhp-procedure-request
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-procedure-request -r 5.13.0",0,0,FALSE,,,,
bdhp-provisioner,bdhp-provisioner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,PHP,bdhp-provisioner,provisioner\Dockerfile,6.11.0,6.9.2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,cd ../bdhp-provisioner && git pull origin dev && git fetch && git branch,cd ../bdhp-provisioner && git checkout -b 6.11.0-tag-as-branch 6.11.0,cd ../bdhp-provisioner && git checkout -b 6.9.2-tag-as-branch 6.9.2,version=6.11.0,version=6.9.2,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=6.11.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-provisioner:6.11.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-provisioner\provisioner\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=6.9.2"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-provisioner:6.9.2"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-provisioner\provisioner\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-provisioner:6.11.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-provisioner__6.11.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-provisioner:6.9.2"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-provisioner__6.9.2.json""","cd ../bdhp-provisioner
fossa analyze -T BDHP -t bdhp-provisioner -r 6.11.0","cd ../bdhp-provisioner
fossa analyze -T BDHP -t bdhp-provisioner -r 6.9.2",5.11.6,5.11.6,FALSE,bdhp-publisher,4.27.0,,
bdhp-provisioner-operator,bdhp-provisioner-operator,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,PHP,bdhp-provisioner-operator,Dockerfile,0.4.1,,,,,,,,cd ../bdhp-provisioner-operator && git pull origin dev && git fetch && git branch,cd ../bdhp-provisioner-operator && git checkout -b 0.4.1-tag-as-branch 0.4.1,,version=0.4.1,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=0.4.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-provisioner-operator:0.4.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-provisioner-operator\Dockerfile""",,,,,,,,,,,,
bdhp-publisher,bdhp-publisher,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-publisher,PublisherService\Dockerfile,4.27.0,4.27.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-publisher && git pull origin dev && git fetch && git branch,cd ../bdhp-publisher && git checkout -b 4.27.0-tag-as-branch 4.27.0,cd ../bdhp-publisher && git checkout -b 4.27.0-tag-as-branch 4.27.0,version=4.27.0,version=4.27.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.27.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-publisher:4.27.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-publisher\PublisherService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.27.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-publisher:4.27.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-publisher\PublisherService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-publisher:4.27.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-publisher__4.27.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-publisher:4.27.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-publisher__4.27.0.json""","cd ../bdhp-publisher
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-publisher -r 4.27.0","cd ../bdhp-publisher
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-publisher -r 4.27.0",4.20.3,4.20.3,FALSE,bdhp-qgenda,4.15.0,,
bdhp-qgenda,bdhp-qgenda,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-qgenda,QGendaService\Dockerfile,,4.15.0,,,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-qgenda && git pull origin dev && git fetch && git branch,,cd ../bdhp-qgenda && git checkout -b 4.15.0-tag-as-branch,,version=4.15.0,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.15.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-qgenda:4.15.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-qgenda\QGendaService\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-qgenda:4.15.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-qgenda__4.15.0.json""",,"cd ../bdhp-qgenda
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-qgenda -r 4.15.0",,4.8.4,FALSE,bdhp-rabbit-watcher,4.93.0,,
bdhp-reference-updater,bdhp-reference-updater,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-reference-updater,ReferenceUpdaterService\Dockerfile,4.14.0,4.14.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-reference-updater && git pull origin dev && git fetch && git branch,cd ../bdhp-reference-updater && git checkout -b 4.14.0-tag-as-branch 4.14.0,cd ../bdhp-reference-updater && git checkout -b 4.14.0-tag-as-branch 4.14.0,version=4.14.0,version=4.14.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.14.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-reference-updater:4.14.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-reference-updater\ReferenceUpdaterService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.14.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-reference-updater:4.14.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-reference-updater\ReferenceUpdaterService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-reference-updater:4.14.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-reference-updater__4.14.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-reference-updater:4.14.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-reference-updater__4.14.0.json""","cd ../bdhp-reference-updater
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-reference-updater -r 4.14.0","cd ../bdhp-reference-updater
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-reference-updater -r 4.14.0",4.5.10,4.5.10,FALSE,bdhp-schedule,5.11.1,,
bdhp-schedule,bdhp-schedule,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-schedule,ScheduleService\Dockerfile,,5.11.1,,,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-schedule && git pull origin dev && git fetch && git branch,,cd ../bdhp-schedule && git checkout -b 5.11.1-tag-as-branch 5.11.1,,version=5.11.1,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=5.11.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-schedule:5.11.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-schedule\ScheduleService\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-schedule:5.11.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-schedule__5.11.1.json""",,"cd ../bdhp-schedule
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-schedule -r 5.11.1",,4.11.6,FALSE,bdhp-terminology,4.62.0,,
bdhp-terminology-service,bdhp-terminology,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-terminology,TerminologyService\Dockerfile,4.62.0,4.62.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-terminology-service && git pull origin dev && git fetch && git branch,cd ../bdhp-terminology-service && git checkout -b 4.62.0-tag-as-branch 4.62.0,cd ../bdhp-terminology-service && git checkout -b 4.62.0-tag-as-branch 4.62.0,version=4.62.0,version=4.62.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.62.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-terminology:4.62.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-terminology-service\TerminologyService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.62.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-terminology:4.62.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-terminology-service\TerminologyService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-terminology:4.62.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-terminology__4.62.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-terminology:4.62.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-terminology__4.62.0.json""","cd ../bdhp-terminology-service
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-terminology-service -r 4.62.0","cd ../bdhp-terminology-service
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-terminology-service -r 4.62.0",4.54.2,4.54.2,FALSE,bdhp-vernemq,1.12.3,,
bdhp-vernemq,bdhp-vernemq,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Shell,bdhp-vernemq,bdhp-vernemq\Dockerfile,1.12.3,1.12.3,TRUE,,,,,,,,,version=1.12.3,version=1.12.3,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=1.12.3"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vernemq:1.12.3"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-vernemq\bdhp-vernemq\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=1.12.3"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vernemq:1.12.3"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-vernemq\bdhp-vernemq\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vernemq:1.12.3"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-vernemq__1.12.3.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vernemq:1.12.3"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-vernemq__1.12.3.json""",,,1.12.0,1.12.0,FALSE,,,,
bdhp-vernemq-pumps,bdhp-vernemq-pumps,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Shell,bdhp-vernemq-pumps,bdhp-vernemq-pumps\Dockerfile,4.18.7,4.18.7,TRUE,,,,,,,,,version=4.18.7,version=4.18.7,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.18.7"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vernemq-pumps:4.18.7"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-vernemq-pumps\bdhp-vernemq-pumps\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.18.7"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vernemq-pumps:4.18.7"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-vernemq-pumps\bdhp-vernemq-pumps\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vernemq-pumps:4.18.7"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-vernemq-pumps__4.18.7.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vernemq-pumps:4.18.7"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-vernemq-pumps__4.18.7.json""",,,4.16.1,4.16.0,FALSE,bdhp-vitals-outbound,4.21.0,,
bdhp-vitals-outbound,bdhp-vitals-outbound,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-vitals-outbound,VitalsOutboundService\Dockerfile,4.21.0,4.21.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-vitals-outbound && git pull origin dev && git fetch && git branch,cd ../bdhp-vitals-outbound && git checkout -b 4.21.0-tag-as-branch 4.21.0,cd ../bdhp-vitals-outbound && git checkout -b 4.21.0-tag-as-branch 4.21.0,version=4.21.0,version=4.21.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.21.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vitals-outbound:4.21.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-vitals-outbound\VitalsOutboundService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.21.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vitals-outbound:4.21.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-vitals-outbound\VitalsOutboundService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vitals-outbound:4.21.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-vitals-outbound__4.21.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-vitals-outbound:4.21.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-vitals-outbound__4.21.0.json""","cd ../bdhp-vitals-outbound
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-vitals-outbound -r 4.21.0","cd ../bdhp-vitals-outbound
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-vitals-outbound -r 4.21.0",4.14.2,4.14.2,FALSE,clamav-mirror,1.2.2,,
bdhp-clamav-mirror,clamav-mirror,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Shell,clamav-mirror,bdhp-clamav-mirror\Dockerfile,,1.2.2,,,,,,,,,,,version=1.2.2,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=1.2.2"" `
    -image ""bdhpcr.azurecr.io/images/clamav-mirror:1.2.2"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-clamav-mirror\bdhp-clamav-mirror\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/clamav-mirror:1.2.2"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_clamav-mirror__1.2.2.json""",,,,1.2.0,FALSE,,,,
bdhp-catalog-crd,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Helm,bdhp-catalog-crd,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
bdhp-core,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,C#,,,5.26.0,5.26.0,TRUE,,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-core && git pull origin dev && git fetch && git branch,cd ../bdhp-core && git checkout -b 5.26.0-tag-as-branch 5.26.0,cd ../bdhp-core && git checkout -b 5.26.0-tag-as-branch 5.26.0,,,,,,,"cd ../bdhp-core
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-core -r 5.26.0","cd ../bdhp-core
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-core -r 5.26.0",4.26.1,4.26.1,TRUE,,,,
bdhp-rabbitmq,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Helm,bdhp-rabbitmq,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
